"[100, 7]",0.817307026652821,0.8234637650833507,0.8218358831710709,0.8148301574150786,0.8246923821374257,0.820455808782657,0.818957080945058
0.8634083751312259,0.8608478222945862,0.863705258248805,0.8734751605869526,0.866580916744621,"[76, 2]",0.9108952407575652,0.9107429929405186
0.9115798295851376,0.9108191221694156,0.9115798295851376,0.9116558418884001,0.9115798295851376,0.9116558418884001,"[88, 8]",0.864826518766929
0.8483238456672991,0.8471152632243403,0.829537014112404,0.8409460643223627,0.8553595312400484,0.8454465297896462,0.8462995705986359,"[81, 7]"
0.8664229128580134,0.9004426157970202,0.896758168269537,0.8701433363830435,0.8899749373433584,0.9010221889803042,0.8988247317322432,0.8936837483535093
"[86, 6]",0.8883556622008931,0.8775,0.878413223140496,0.8982650374670897,0.8791672157069442,0.8774448468883767,0.8769220616379596
0.8778429692135276,"[95, 6]",0.913126188966392,0.9472507234938173,0.9472714107037062,0.9415686274509805,0.9436702649656525,0.946573903911788
0.943643512450852,0.945736434108527,"[80, 8]",0.9114680612626075,0.8865093768905021,0.8984317569223229,0.8949620934213743,0.881482372758994
0.8966318234610917,0.8951262765241851,0.8956319588890247,"[85, 7]",0.8908403463837052,0.8895132229890674,0.888495142665119,0.8894997251236944
0.8892691273527255,0.8907583516215557,0.8888210140500916,0.8898118739311021,"[82, 6]",0.8949562878278413,0.900446368186122,0.8951932773109242
0.896454472199839,0.9014598540145985,0.9063985871484852,0.9063242986210177,0.9037067154570713,"[89, 6]",0.8264817769051418,0.8256576930152695
0.8255585563466733,0.8250966910184787,0.8249509322865554,0.8256205945448973,0.8262335274287466,0.8256790729045311,"[89, 7]",0.862443330947268
0.8666307019121262,0.8459332479101838,0.8430723998529951,0.8677229624294803,0.842453176643408,0.8437902483900646,0.8644706163687451,"[84, 4]"
0.8905878110349802,0.8920241865822055,0.886574074074074,0.8897403150276714,0.8982893135781261,0.9021398002853067,0.8942528735632185,0.8914656103709039
"[90, 6]",0.8388743539021122,0.8968959387392316,0.8958490049921357,0.8393107849393746,0.8963914707490432,0.8961322946562799,0.8957449719523874
0.8963581599123768,"[77, 9]",0.9408341416100873,0.9372584385467663,0.9353719645380958,0.9340786430223592,0.9359701107961866,0.9334616618543472
0.9375564443297638,0.9364854418964184,"[87, 3]",0.9030294646562457,0.9338709677419355,0.9243081931633207,0.9391584025730367,0.9245692579025911
0.9258280837228205,0.9286582894203487,0.9301949146826736,"[83, 12]",0.8220465222871548,0.8226047045324154,0.8227202384364075,0.8196740062911066
0.8222680885219584,0.8217861433720464,0.824712643678161,0.8235699517574087,"[71, 6]",0.9156191402180707,0.9147988305721844,0.9177748381257397
0.9159722222222223,0.9155419507443997,0.9148300076479177,0.9150753419901396,0.9137571289470023,"[87, 5]",0.8827688371153457,0.8973550774290805
0.8978027243480047,0.8705757354406003,0.8784545210625168,0.8786700630111275,0.8973024784335204,0.8784382128002146,"[86, 8]",0.9375200256328101
0.9326279558926637,0.9211607763798444,0.9219204042956411,0.9329081632653061,0.9209096651926721,0.9333588419105925,0.9332142629329592,"[81, 9]"
0.9125780553077609,0.9230372234049417,0.9226997031875079,0.9226301864877072,0.9226301864877072,0.9231860690099968,0.9226997031875079,0.9226301864877072
"[76, 4]",0.8950723048454525,0.8965138622014823,0.8918807528506663,0.8937048503611971,0.8949315068493151,0.8916357643180882,0.8931103310620139
0.8944448249880129,"[94, 5]",0.8910450778249445,0.8425006366182838,0.8433581567054931,0.8436822644396277,0.8449929658524108,0.8442230312320368
0.844248691433678,0.8442230312320368,"[83, 8]",0.882970893275343,0.9009033670955379,0.8903915072012982,0.8991866584649033,0.8896402488504194
0.8900196756903453,0.8981741092799015,0.9013022618231666,"[85, 6]",0.9393048811653463,0.9411915932900572,0.9387912228923393,0.9380088467209436
0.9431322207958922,0.9414562046140993,0.9388771795363097,0.9413655651279415,"[87, 3]",0.8715764740436156,0.8712566059894303,0.8715764740436156
0.8719078029802539,0.8719906048150323,0.8714107365792759,0.8710791155513112,0.8714107365792759,"[97, 7]",0.8588886030357602,0.8240575610356067
0.8253049156092152,0.8542468565563254,0.8255449800429844,0.8252893376015761,0.8231801595645989,0.8217619783616693,"[79, 10]",0.8887873645738155
0.8097838993113275,0.8111804936068986,0.8814479638009051,0.8104637336504161,0.8100469093284247,0.8110873185819654,0.8116666666666668,"[75, 4]"
0.9534582623509369,0.9538147138964578,0.9538147138964578,0.9538859750698181,0.9539572265358943,0.9543133383264111,0.9543133383264111,0.9541709227102485
"[85, 3]",0.8966417141679829,0.8964615172793612,0.8968449931412894,0.8900866480180119,0.8969022597705886,0.8962348261436117,0.8974905465795806
